membership_category,feedback,points_in_wallet,churn_risk_score
1,0,-0.9786476108887068,5.0
4,0,0.20024310032071288,3.0
4,1,0.5999956980720471,1.0
0,-1,0.04687681232171205,5.0
5,-1,0.5288043964225607,3.0
2,1,0.3211117555757518,2.0
0,-1,-0.3214023445196503,4.0
2,-1,-0.3593224949655212,4.0
1,-1,0.013885721313413662,5.0
1,-1,-0.3236535658842156,4.0
3,-1,0.3385314997244453,3.0
5,-1,0.321839912083575,3.0
1,-1,-0.2837622542690957,5.0
3,-1,1.3369222826158826,4.0
0,0,-0.22422145674478114,5.0
0,-1,-0.02005757435896166,5.0
0,-1,-1.0463661661162666,5.0
4,1,1.8525764908864044,1.0
4,0,0.3031879030754875,3.0
4,-1,0.40585797067856255,3.0
3,-1,0.11795608989307123,3.0
4,1,0.7668568354551485,2.0
2,-1,2.2074178829986266,4.0
2,-1,-0.18019599404100756,4.0
0,-1,0.04855717349361154,5.0
4,0,0.11078654889296577,3.0
3,1,0.42703052144449927,1.0
0,-1,-0.06946019281281401,4.0
0,-1,1.9680988852593848,4.0
0,-1,-0.32571527152752616,5.0
0,-1,0.16411001008125112,4.0
3,-1,-0.16294428600950384,4.0
2,0,0.352702545607467,3.0
1,-1,-0.4103239589355811,5.0
2,-1,0.1364859145234884,3.0
5,-1,0.09992021331468104,3.0
2,-1,0.04631669193107867,4.0
4,1,0.25938648852796703,2.0
0,-1,-0.5918844811564468,5.0
2,-1,-0.12765670139960866,4.0
0,0,-0.668340914477886,5.0
4,-1,-0.93978420768337,3.0
3,-1,-0.11891882330573027,4.0
1,-1,-0.16075981648603424,4.0
2,0,0.11252176373866725,3.0
3,-1,-0.37971087718457147,4.0
1,-1,-0.47606306501386075,5.0
3,-1,-0.12384788274330286,4.0
0,-1,-0.41439021910203355,5.0
1,0,-0.3881686950831335,5.0
1,-1,-0.28320213387846294,5.0
3,0,-0.2837622542690957,4.0
1,-1,-0.6105925022035975,5.0
3,0,0.0889978656973324,3.0
5,1,0.5100403633363467,1.0
4,0,0.43655256808526416,3.0
1,-1,-2.1725111017587055,4.0
0,0,-0.16221612950168066,4.0
2,-1,-0.21962846954158885,4.0
3,-1,0.35287058172465685,3.0
4,-1,0.5999396860329838,3.0
3,-1,-0.13930720552478051,4.0
0,-1,-0.5751928935155765,5.0
1,-1,-2.4283063865387833,4.0
1,-1,-0.16837745379864652,4.0
2,-1,-0.4560552864278835,4.0
0,0,-0.11539006484474082,5.0
2,-1,-0.35338521882480906,4.0
5,-1,-1.5322757832544753,3.0
1,-1,-0.45779620531661575,4.0
5,1,0.3532066539590365,1.0
